"Label","mz 59.01287386 //RT 71.42227731","mz 73.02849529 //RT 0.00599967","mz 93.03373494 //RT 237.7226903","mz 99.00795993 //RT 293.162389","mz 100.0031536 //RT 247.7813984","mz 117.0552304 //RT 90.5310804","mz 118.0586918 //RT 72.32408512","mz 120.0453103 //RT 209.387502","mz 122.0248884 //RT 22.88221777","mz 125.0967611 //RT 266.6393549","mz 130.0659344 //RT 255.2208808","mz 131.0697087 //RT 55.08024311","mz 131.0710157 //RT 151.8947143","mz 141.0917095 //RT 286.8086252","mz 142.0657154 //RT 247.8825273","mz 152.0428684 //RT 225.1072904","mz 153.0188573 //RT 159.2787529","mz 174.0556436 //RT 255.4197604","mz 178.0506869 //RT 46.75697413","mz 187.0972355 //RT 66.65890112","mz 190.0510309 //RT 73.88959713","mz 191.0190272 //RT 27.95505778","mz 192.0227173 //RT 23.53824173","mz 206.0479066 //RT 97.50586957","mz 206.0458584 //RT 207.6729159","mz 208.0646181 //RT 94.75749426","mz 209.0792391 //RT 266.6850542","mz 210.0804896 //RT 266.4169753","mz 215.1283928 //RT 19.04282835","mz 216.0875212 //RT 64.7802733","mz 219.027369 //RT 226.1705257","mz 222.1132032 //RT 326.6518114","mz 223.0616652 //RT 50.61336354","mz 225.1126774 //RT 319.7106863","mz 227.1284347 //RT 360.5070576","mz 229.0537497 //RT 319.1535666","mz 229.1439476 //RT 335.2732307","mz 230.0566323 //RT 319.4638675","mz 231.033041 //RT 303.4775614","mz 232.0370222 //RT 302.956958","mz 234.1132916 //RT 300.2999706","mz 236.0922707 //RT 230.1987384","mz 237.1240578 //RT 257.9099072","mz 239.0916448 //RT 302.1258351","mz 239.091892 //RT 336.8878266","mz 239.99519 //RT 103.8639763","mz 241.1076748 //RT 212.6572024","mz 243.0773345 //RT 247.723442","mz 244.0804605 //RT 247.7182844","mz 245.0487473 //RT 240.1849505","mz 245.0927751 //RT 245.0846723","mz 246.0521938 //RT 240.0325276","mz 246.0955269 //RT 245.0999688","mz 247.0480515 //RT 82.09026545","mz 248.0958022 //RT 240.6692675","mz 249.098146 //RT 240.6458873","mz 253.1191851 //RT 114.9111053","mz 276.0007389 //RT 140.8707702","mz 279.1275229 //RT 328.0227537","mz 293.1161117 //RT 149.6636498","mz 303.0178574 //RT 150.6830591","mz 304.0207077 //RT 150.6612564","mz 308.0984878 //RT 18.92752141","mz 310.102618 //RT 65.41692807","mz 310.9692754 //RT 6.663987882","mz 311.070589 //RT 145.0482519","mz 311.9722409 //RT 7.177236383","mz 320.1078038 //RT 140.2623736","mz 326.9424254 //RT 25.48383577","mz 352.0856921 //RT 313.2502606","mz 353.0897307 //RT 313.0080811","mz 368.9722179 //RT 6.413331425","mz 378.1016025 //RT 336.1376535","mz 380.1137514 //RT 333.5800212","mz 391.0273783 //RT 121.3899302","mz 405.0277483 //RT 27.75357078","mz 406.0326611 //RT 28.0647121","mz 413.0429781 //RT 144.2454436","mz 421.0002752 //RT 27.82324105","mz 430.91982 //RT 24.97892162","mz 435.9577544 //RT 28.18022409","mz 441.1613664 //RT 307.9507622","mz 575.1195077 //RT 146.0944394","mz 613.3595637 //RT 337.9140933","mz 627.3761655 //RT 345.5595674","MZ 139.0080106 // RT 266.163112","MZ 152.0623154 // RT 92.08466258","MZ 155.0134266 // RT 247.4243894","MZ 160.1339746 // RT 11.59533148","MZ 176.1056353 // RT 24.45721495","MZ 193.098677 // RT 26.13727811","MZ 201.0551545 // RT 307.8090355","MZ 204.1250884 // RT 32.18089594","MZ 204.1345526 // RT 48.36620651","MZ 211.06049 // RT 261.5162407","MZ 211.0714984 // RT 89.67769158","MZ 211.0948965 // RT 264.4617553","MZ 212.033164 // RT 141.8011052","MZ 215.0172169 // RT 32.24189695","MZ 215.1699905 // RT 32.13363533","MZ 215.385388 // RT 33.51105013","MZ 216.0207763 // RT 32.54068371","MZ 219.1746802 // RT 13.77330432","MZ 227.0593737 // RT 265.090873","MZ 230.9897971 // RT 32.21604228","MZ 230.9942814 // RT 89.5136752","MZ 236.9996167 // RT 33.1702461","MZ 237.0180091 // RT 57.44198376","MZ 238.003293 // RT 33.23679884","MZ 242.0470363 // RT 65.85015765","MZ 242.2633643 // RT 106.4459779","MZ 243.1004849 // RT 3.745031639","MZ 244.1552798 // RT 56.83217341","MZ 247.0970455 // RT 23.66165344","MZ 247.1325996 // RT 241.3775945","MZ 247.1384435 // RT 26.80803383","MZ 251.1374383 // RT 66.39697838","MZ 252.9745196 // RT 32.25163064","MZ 252.9764797 // RT 91.85903111","MZ 253.1093357 // RT 339.0808336","MZ 253.1446207 // RT 291.876058","MZ 261.1217491 // RT 259.733852","MZ 264.1215224 // RT 23.30921876","MZ 267.0752208 // RT 47.5987377","MZ 268.0786356 // RT 247.286278","MZ 268.971221 // RT 39.4986666","MZ 269.0906438 // RT 246.6105621","MZ 269.1280232 // RT 25.77123022","MZ 273.9766249 // RT 3.580064633","MZ 274.0931388 // RT 132.7231618","MZ 275.1110199 // RT 76.8900988","MZ 277.1417306 // RT 324.896284","MZ 281.118992 // RT 286.8747521","MZ 284.1869613 // RT 241.953849","MZ 286.0941817 // RT 24.87727498","MZ 286.1439715 // RT 6.463579088","MZ 286.201986 // RT 284.740301","MZ 287.2051064 // RT 284.9011055","MZ 287.9919291 // RT 117.5061824","MZ 289.0575398 // RT 47.34458071","MZ 292.1031298 // RT 33.20948049","MZ 292.1586582 // RT 193.7893427","MZ 292.9720498 // RT 112.3408676","MZ 294.1695373 // RT 22.51003296","MZ 298.1858108 // RT 335.4980608","MZ 300.8461238 // RT 28.21429718","MZ 310.2017751 // RT 301.5268685","MZ 311.996924 // RT 141.4667774","MZ 313.0857312 // RT 146.5674858","MZ 314.2333368 // RT 24.94394447","MZ 319.1658447 // RT 206.4334287","MZ 320.0974838 // RT 89.10383275","MZ 326.1979809 // RT 265.0908809","MZ 332.0963401 // RT 23.39433456","MZ 335.0677266 // RT 146.150292","MZ 340.1192551 // RT 319.580832","MZ 354.103273 // RT 310.0341178","MZ 362.0851112 // RT 139.0204419","MZ 365.0463959 // RT 63.61843229","MZ 365.1749732 // RT 57.50138287","MZ 367.1509493 // RT 88.75312975","MZ 369.1565491 // RT 89.08054371","MZ 370.0525988 // RT 21.63438275","MZ 370.2620353 // RT 306.6197854","MZ 372.9232556 // RT 27.98128537","MZ 375.1153219 // RT 2.261121688","MZ 376.0842185 // RT 309.9276143","MZ 380.1177542 // RT 332.9323936","MZ 381.0993332 // RT 303.4481684","MZ 389.121976 // RT 313.9559327","MZ 396.1502435 // RT 96.88806362","MZ 398.0670488 // RT 309.3474288","MZ 407.0344674 // RT 3.72067325","MZ 409.0248978 // RT 34.83171973","MZ 411.1649188 // RT 0.336878992","MZ 412.1682325 // RT 303.8321051","MZ 415.9645978 // RT 34.51465053","MZ 417.3378443 // RT 335.7191899","MZ 422.2140079 // RT 131.2977363","MZ 423.0084949 // RT 33.91615407","MZ 424.0127573 // RT 34.37186156","MZ 429.0226755 // RT 33.89550352","MZ 435.1999616 // RT 313.5644411","MZ 437.9729528 // RT 34.02426469","MZ 438.9799872 // RT 34.38718636","MZ 444.991422 // RT 33.78759494","MZ 447.10803 // RT 68.33300748","MZ 451.0076189 // RT 33.65433463","MZ 453.1174655 // RT 6.51171488","MZ 454.1827643 // RT 84.47234231","MZ 486.2571336 // RT 125.0351305","MZ 497.1443441 // RT 286.9818977","MZ 520.9790465 // RT 34.15643017","MZ 542.9586941 // RT 34.39494134","MZ 561.3432022 // RT 328.9471712","MZ 584.2670695 // RT 131.4255402","MZ 595.3515218 // RT 301.1663045","MZ 597.3652419 // RT 330.2975575","MZ 615.0353192 // RT 34.28684079","MZ 631.3465895 // RT 343.0206379","MZ 638.3608799 // RT 328.1278024","MZ 656.2017529 // RT 3.99017038"
0,449.5952,688.2065,17.75048,481.4548,3269.573,5397.303,271.2833,27.28462,904.3849,745.6806,668.5925,96.18671,510.9123,551.6887,707.3803,56.6557,2418.057,438.9116,266614.1,15644.73,105.2137,259083.4,20612.79,197.785,13.06813,1026.137,2625.398,331.9782,1405.066,1164.446,64.91087,2236.343,148.781,179.1818,148.5196,1491.892,714.6873,45.72225,2013.725,190.3911,304.332,59.07342,2477.332,708.4104,575.9234,404.4077,509.9983,6656.151,1017.214,1987.001,1559.278,484.9971,225.5332,360.4747,704.6981,129.1511,76.21749,121.9443,142.4042,421.4796,508.4882,53.79487,341.7575,348.8551,1287.994,102.6672,212.3082,133.4054,178.6292,8880.849,1374.391,880.4533,1640.073,368.0537,24.75499,3085.459,479.5174,54.13359,291.3486,136.7325,363.0379,367.8648,141.3699,1052.886,352.2053,221.2204,2627.882,720.1622,640.9442,1466.596,28085.73,1959.089,26406.86,5707.068,2547.658,6760.991,2235.702,367.4611,78218.4,1893.674,775.4556,6268.219,575.459,787.2604,2874.035,211.1936,4704.659,559.7895,288.0868,307.7153,436.0437,260.6065,622.2525,344.6867,798.3518,2217.846,714.2684,2065.453,589.3952,369.6394,1570.689,575.6034,165.0725,6952.112,1185.706,765.245,1383.052,4719.959,1865.402,516.0529,197.196,755.0786,792.2557,2227.853,670.3377,637.7818,61399.38,11136.51,522.207,528.7765,193.1313,1576.694,225.6405,274.0709,48.66869,23.06784,67708.08,27.96311,110.7167,40676.48,1010.401,2069.84,340.8311,284.6566,236.0186,462.4995,302.5872,478.5584,721.5231,2471.541,20757.98,476.3672,240.6413,626.6675,251.1116,632.4334,89.38225,320.9208,62.27826,315.3259,360.7681,90.47017,1815.014,295.9182,1734.789,280.0846,286.8737,343.0534,415.9728,2432.632,330.1572,361.6845,1056.402,599.0248,709.1262,310.075,91.82792,285.8848,305.7702,788.6409,41.37522,1592.078,384.1962,114.0162,548.9873,246.5052,5091.345,585.5278,862.6982,361.4468,216.9845,121.5019
1,296.209,498.0177,9287.467,278.4266,1840.925,6654.649,407.2431,61.97702,660.5363,253.4036,454.3621,76.33086,432.2318,1169.742,360.5216,1510.363,3447.559,250.1596,645763.8,5739.444,53.88396,125245.7,10396.14,79.90984,73.71669,548.38,2155.581,209.8503,785.5877,1366.59,2829.157,3361.472,531.3135,1259.32,155.5248,139.4874,811.9213,20.55547,248.43,406.3753,376.1441,95.7144,1040.101,1253.848,6284.246,122.263,376.0687,3047.7,655.8812,668.074,717.5265,157.2742,113.201,1334.833,1262.954,222.6863,720.356,369.4894,195.7226,278.2972,2322.998,332.1231,221.1728,311.8584,4671.531,199.6144,413.2851,61.6423,440.3222,798.609,1008.26,2483.098,806.2654,86.2839,14.19346,4100.487,644.7621,829.8044,439.1307,716.2789,388.0161,89.0376,282.5504,317.5631,218.3106,222.3896,875.3201,1522.393,754.1677,2654.72,87.41634,921.8341,18006.83,2380.827,1374.531,6593.162,1202.364,556.6483,72266.16,812.4789,2123.797,4581.116,434.1734,447.4489,3684.476,176.9538,9599.648,1256.207,929.5249,2946.099,897.9669,307.4774,168.0777,396.0074,381.6762,399.146,3122.362,6710.915,510.9802,456.0687,894.6173,586.6558,130.6612,4094.994,652.1922,309.3945,1080.241,2301.189,2686.335,586.1188,945.4633,1067.283,4522.048,4291.153,275.4833,284.2908,106719.5,22465.47,277.4255,524.377,111.1746,6766.043,870.8326,362.1355,97.37276,118.6667,74996.6,401.5002,231.7168,43628.73,2570.619,1895.296,343.829,255.6337,581.4689,340.7959,143.37,1166.403,60.71164,622.7295,12651.09,513.3213,91.87281,370.9861,1126.936,290.3614,93.83132,156.1726,484.1261,431.5558,512.8916,118.969,1641.945,436.9295,3222.308,614.1982,528.7028,156.6314,483.7822,3240.128,385.3916,1099.942,831.0671,504.7556,589.2248,860.0699,66.43449,1373.917,511.5826,328.6891,418.0011,11117.3,680.8527,275.3986,141.0439,323.5317,93.61502,296.8397,999.2477,382.6587,240.1804,90.99911
0,403.4463,648.9408,4949.733,309.837,707.7641,3732.926,709.1904,46.74454,676.0914,142.6594,222.8218,48.2429,952.7037,492.2195,186.6224,877.0595,5323.706,151.3216,200400.3,2620.31,88.90205,64484.17,5689.248,102.0591,159.3667,147.4471,934.1786,127.7068,363.9456,1159.101,51.29119,397.1319,532.0166,1145.364,210.294,155.0385,130.0753,32.35187,145.1923,25.08369,556.2889,806.3413,876.8257,398.871,151.8595,467.2093,1343.547,1514.547,350.0453,125.7771,131.876,40.54385,21.83172,328.7563,63.21912,45.89372,246.2084,42.59034,71.71147,189.7324,2814.432,395.0384,320.2231,1308.79,4257.877,51.39428,558.2616,252.8226,279.2201,982.3616,667.9841,315.9066,256.118,29.16196,150.0844,2176.964,265.0881,397.2485,213.6076,1326.774,153.495,261.2521,240.2433,1296.132,411.5289,157.8309,610.3595,563.5039,174.7706,1411.24,158.2823,207.8741,10508.75,1342.517,665.863,305.4332,604.8723,446.9884,40200.89,1343.085,2134.765,3132.976,258.6755,327.527,1342.229,125.6009,8434.894,978.4255,631.2481,120.3995,288.3601,162.3367,119.9604,552.8614,143.2415,561.7067,3038.429,1822.373,663.1022,479.8864,856.383,375.2656,112.218,1627.226,216.0605,345.1678,114.6968,3814.603,440.8051,110.3368,331.4828,392.5101,1024.329,1312.622,169.2604,166.2213,45676.33,8266.372,3075.825,325.7637,68.85881,402.6014,339.6922,346.0189,83.25209,282.8752,23563.93,120.5086,74.94217,20173.12,2875.444,1445.559,145.2315,237.9841,585.79,73.73817,309.0721,1148.262,309.5808,194.6961,5562.217,200.6381,103.7444,265.3639,784.7742,98.3436,751.1973,98.11788,173.6461,380.5333,111.4467,208.7521,225.2534,165.7138,1787.158,372.2533,281.871,343.0308,92.13031,824.562,162.5284,288.2274,877.7,250.4272,299.6637,408.8294,62.29196,949.1452,170.5756,159.5602,27.54792,2324.873,221.7179,76.11959,224.8263,45.688,712.3261,607.319,114.5564,271.1939,969.2397,193.3037
0,170.4033,277.1171,244.5701,270.1447,1351.179,1912.97,103.5414,68.7735,810.3324,213.4221,70.08636,34.16514,51.70069,128.9268,313.7389,11.77944,1538.593,31.44661,273824.9,3830.66,6631.111,17079.33,4272.99,331.6638,17.21544,2547.866,385.1752,195.3347,122.3998,1323.501,210.5617,1100.561,3771.263,623.0485,131.3752,130.9774,37.50384,12.20507,216.1004,45.41083,519.6637,227.975,11002.07,167.3223,106.6989,515.4593,330.7179,2929.87,501.3593,566.2435,661.0755,65.42587,109.0077,136.2929,2138.62,315.6483,785.7069,300.4797,73.89589,694.9507,22415.75,3492.14,322.5512,64.72235,96.8115,166.3515,16.91292,276.9373,51.31983,1410.428,2037.724,841.3136,795.3657,148.3171,19.80254,177.5039,29.38741,321.9641,51.22329,6.925138,57.32248,521.0726,39.90786,1338.383,355.798,79.07915,588.5458,342.0895,22.49522,1221.711,5.325751,303.869,6698.081,785.3181,751.626,3768.997,572.7968,524.0992,2428.579,43.26179,53.76429,238.5346,514.4053,335.014,619.4225,706.6716,89.89174,123.527,1.997426,357.4698,309.1411,130.4163,39.98035,392.3703,372.6727,461.9519,53.75355,122.3757,2722.363,270.1582,3437.999,294.3249,57.93842,3430.152,556.6002,506.5925,689.4883,3568.481,732.7199,254.5227,2433.832,353.087,439.9694,838.5209,1553.795,1774.416,47707.26,8806.68,141.879,148.8262,111.6307,2.053154,216.734,391.6393,178.0381,18.93151,68735.32,21.03052,99.42969,40861.64,14.30478,1078.678,737.621,48.0406,246.8014,232.8079,109.0931,1308.91,544.7003,553.4625,16120.62,561.1844,20.49513,228.6786,22.39119,76.70876,19.5195,331.8541,483.4077,556.1146,445.7467,147.4575,76.90932,69.28819,2148.336,607.9529,20.47352,530.6854,269.2939,118.034,41.78161,25.66399,342.6286,46.17777,65.38696,20.68487,75.63782,25.71054,380.3687,148.7937,269.3622,2473.78,29.899,21.3871,757.8529,199.9971,226.2055,760.3052,17.10452,967.273,846.6406,41.53005
0,101.9262,216.4647,83.05039,517.5105,970.1487,2321.876,142.2804,59.88035,447.901,435.8879,458.4132,62.51294,157.5755,41.78364,228.1037,106.12,2629.202,360.0959,505810.1,9627.559,22.09206,59571.85,7055.253,125.14,23.64519,204.8852,2879.823,353.7741,615.1503,854.6285,184.1286,1855.213,112.1329,2968.054,118.6786,144.5459,888.0163,98.2754,58.00733,34.70846,484.9952,355.4698,385.5905,347.7759,148.1824,168.4427,2245.915,2506.821,362.5342,432.0997,521.3141,103.9048,93.25109,353.7872,100.0043,78.80023,352.55,68.22623,138.8941,108.309,411.9368,96.11766,373.4531,144.2964,3903.969,106.063,447.6104,224.4742,373.8506,1268.011,268.8488,422.585,375.4766,59.61863,20.97115,1918.921,323.3378,98.19434,174.0031,840.6246,194.7869,1373.489,431.0646,258.6525,187.1557,433.5735,389.8804,682.285,370.0634,1507.717,162.675,250.3652,1001.751,763.3427,1611.836,2244.833,1538.099,174.8098,28590.34,1947.353,3111.321,2639.457,193.3719,1020.567,1224.019,104.2582,6483.097,894.7838,386.1762,67.17307,386.5416,491.2917,133.6911,646.6575,421.7112,672.9974,2328.767,1380.331,587.498,154.5565,503.6846,272.9299,196.4935,2439.065,417.6931,301.5701,369.8162,1704.083,1678.789,261.2147,245.586,336.5729,1586.736,538.128,745.248,768.6497,11802.2,2466.77,726.9775,403.9642,146.0522,478.5046,192.9698,137.1649,48.38905,226.1964,18136.54,159.506,66.14158,7298.443,78.18119,1264.868,74.06105,329.0677,178.1634,253.2696,168.6741,659.2348,202.756,207.1105,4806.528,284.1275,92.37751,34.80046,462.4399,74.25864,83.34815,73.40697,214.8329,311.2048,260.2877,71.17467,566.4309,262.3398,3586.842,766.9852,395.9164,313.1208,253.9369,1362.414,190.2447,359.1708,600.0179,330.988,568.9418,476.1093,23.73185,746.8487,170.6213,111.1741,186.7954,4091.433,356.5103,226.4213,201.2478,48.53328,1029.135,188.3251,243.8269,249.1251,254.7876,169.0628
0,379.0839,393.7243,1206.671,273.2055,3505.508,5904.76,361.8577,71.33818,797.4914,426.2136,1063.751,134.936,406.4411,749.452,828.0101,253.2254,3746.418,663.2199,341151.8,8600.016,60.37435,83829.69,9469.361,165.4422,54.71658,715.2406,1907.553,303.9302,1993.926,952.521,550.6712,5796.811,197.8703,1636.59,352.7876,281.6744,2231.528,28.5913,3538.706,45.17133,248.3808,596.4116,1851.277,684.6141,1045.262,277.2506,108.9965,7617.123,1440.35,356.7937,3763.528,87.01331,586.6179,271.5933,568.7321,162.6566,742.4219,201.5689,260.0741,359.5964,917.7164,80.52736,173.3813,184.5152,2527.207,89.04466,295.5968,536.9875,260.7032,2050.822,593.2595,2258.42,1554.786,170.3949,52.56996,1626.554,220.9053,511.078,357.0868,436.2938,177.2306,192.8481,292.4503,767.6198,611.9491,258.8475,576.5254,1185.019,1012.415,3428.966,97.67884,570.5029,26291.79,1522.788,181.1949,1238.628,1814.608,672.2042,41641.86,1544.034,1588.722,2466.496,611.6578,589.9978,3732.929,216.4282,6708.621,986.6766,337.7825,220.9273,1096.672,292.055,179.702,367.4513,2088.753,347.6608,1038.443,4800.639,1855.143,506.0244,2150.662,810.764,68.13365,8585.742,1458.191,347.9903,2972.743,2463.329,554.3772,302.8213,226.7967,1908.79,1062.936,5233.709,1433.349,1486.543,148078,26808.45,208.7294,771.8588,37.04182,5241.171,2135.74,479.1542,56.49133,95.68283,102128.8,317.1231,133.9134,60818.71,2334.722,2001.734,505.9042,168.3725,82.74209,236.5469,157.4559,1523.516,125.8744,800.4065,11703.09,429.6032,87.35281,202.6942,1072.758,243.9353,65.19634,243.1294,286.287,1333.79,379.5726,233.8227,699.5512,177.2758,1776.196,343.6884,172.8634,293.8574,36.6034,1205.313,190.2701,302.2316,1323.529,243.9951,380.073,355.1665,34.75004,468.0821,359.3757,318.8045,273.4724,2787.296,305.8458,180.2404,447.9613,27.36216,701.6846,735.4419,320.7299,487.5406,577.2245,91.56157
0,307.735,393.371,981.3112,68.63377,2309.431,5204.532,308.0891,22.30678,887.9158,195.6571,252.0346,35.48977,160.4339,332.0182,555.6767,57.92134,2000.528,181.9426,269696.2,6456.771,6540.052,185299.7,14550.99,123.14,109.1246,990.6732,616.2406,77.84388,1362.256,442.7621,102.3034,1642.875,132.1134,2099.319,662.9136,11844.02,974.8576,164.8842,1397.311,23.94225,282.2797,83.52961,782.4229,451.5928,447.4441,223.6632,439.1096,4265.466,800.3821,16016.71,1296.056,2937.577,175.0083,226.9592,1333.686,302.1834,52.62227,213.1273,111.7348,210.8223,1226.673,55.97806,201.5713,237.0499,805.0468,126.3306,62.43832,448.2361,83.64757,3208.11,607.796,1835.699,2112.513,1284.828,12.12789,724.3788,128.5683,107.6355,172.701,81.33666,112.698,280.5677,127.0295,1383.938,527.6918,102.1588,1417.7,256.4712,2765.301,779.9959,14.22156,978.2205,716.7768,1570.775,1114.078,1252.096,1080.299,214.185,28551.3,1249.034,857.8963,2631.096,1185.909,347.1509,2266.001,87.25102,2892.39,953.2484,128.2047,462.9185,236.4157,111.1423,33.36653,463.4252,2395.737,153.8942,74.823,1835.687,621.0361,565.8403,1365.926,983.8604,43.69625,5606.743,919.6804,140.1008,1060.039,1514.866,1712.054,252.4077,166.0276,532.234,446.974,4344.869,1034.204,1615.912,120645.4,24061.16,396.5302,270.4341,121.5575,3659.961,496.7311,1123.347,64.22755,30.0536,66690.03,70.49766,122.5855,37545.35,3789.441,935.7054,454.7562,148.7771,151.9573,158.9585,551.4603,957.3529,122.4006,229.0725,7108.596,290.2591,65.61642,793.6436,179.9201,246.8462,135.1466,521.9368,323.6128,354.035,354.9811,104.046,1063.886,208.105,2690.368,611.509,108.0156,396.5288,272.4409,1206.765,162.6639,260.6162,2239.35,205.1355,259.8683,222.8212,23.26709,168.8004,203.5113,679.1069,330.4589,1147.698,185.2249,68.45968,884.7409,207.475,4510.06,1349.889,444.7421,444.1268,750.7084,87.79861
0,374.8068,429.3454,67.80434,586.9216,480.9594,4544.768,503.0819,118.7019,322.8777,1158.748,744.9429,93.48406,249.3585,298.2332,151.0075,30.69847,1823.188,500.9698,345176.5,24626.2,83.53284,48773.6,5735.188,143.1564,61.1727,353.1677,3322.649,378.0598,885.4275,651.1927,66.38898,1128.068,3562.926,3655.071,2385.788,473.8353,1840.676,44.81517,449.2768,20.06779,426.0733,878.8126,1150.019,595.7889,1150.009,211.5171,1709.938,1363.149,210.5156,170.9125,407.1895,37.54419,50.23477,94.00806,381.254,76.31449,1092.107,148.9387,65.4234,549.8232,22968.81,3020.508,97.88637,93.24228,1579.236,74.46615,112.6733,136.5433,212.1657,1342.697,1986.011,129.314,1600.719,132.6224,28.30064,1253.255,189.95,207.5747,145.9624,271.393,59.96362,54.66421,180.5063,795.3429,430.5667,335.5781,1075.837,225.4637,420.7866,1037.227,106.8546,872.8407,6624.742,977.7376,3862.54,1279.49,3836.05,271.3816,32805.17,1178.055,1061.719,2749.314,1037.762,1272.12,2187.34,301.6675,5040.706,546.6419,348.3565,885.122,247.7193,262.185,43.01581,320.6013,1203.587,341.4532,2023.32,2485.958,1686.2,603.762,3447.582,1085.945,102.8403,1454.371,233.4287,338.9087,379.7747,2657.242,807.3192,288.7189,3041.02,606.8301,700.9893,1600.474,360.4175,373.2632,48089.18,8631.894,196.284,178.1526,3.912173,2628.09,315.3954,188.7744,20.87395,47.65758,89102.32,174.5353,128.3322,41323.62,1164.58,1038.411,650.9751,109.6345,341.2828,279.4888,484.4404,179.4354,495.0908,405.059,1490.446,384.5961,60.85705,52.9181,636.2616,145.2342,68.17824,364.1396,755.4959,1631.006,241.9692,636.9446,480.1854,201.7483,3031.022,560.0237,144.7967,220.4795,25.33468,892.6904,156.49,303.4741,2591.378,124.2861,156.2163,392.4153,97.9515,520.1146,387.5767,298.7806,12.9184,1457.614,275.8837,125.2335,192.8476,70.59239,202.4776,450.3223,250.7382,336.5633,42.66015,40.4526
0,888.5216,566.2159,28.90234,221.7113,1634.27,11891.33,1177.281,21.27245,454.7883,221.7857,191.8581,53.75253,234.1022,1756.756,341.0738,36.07972,1190.734,140.689,496598.1,4557.563,72.91966,38648.73,5872.219,150.3301,112.5435,294.089,991.5823,137.2332,638.9712,632.4559,58.57224,4869.644,673.021,1127.757,257.7118,84.69875,356.0563,12.58535,58.48378,24.96703,411.9345,1300.931,1242.799,774.2336,1134.611,55.81873,153.2386,3982.806,582.5167,436.3251,771.266,107.2951,128.5922,646.1762,1840.531,240.3845,391.8994,62.88339,70.53395,446.6776,4004.361,590.2616,246.0724,89.93694,1670.485,67.95358,194.9641,353.9037,253.152,21129.76,3748.599,3192.445,3258.394,447.6472,16.56869,887.7756,135.5174,104.0869,98.18451,614.8583,81.61054,63.08456,305.3179,791.3277,342.0973,176.5919,533.263,560.0319,708.8588,2629.27,187.0832,1470.443,2456.269,2111.959,1831.399,1247.296,1542.551,412.9432,31951.25,1401.887,1224.756,2808.149,934.0458,457.9384,1761.195,114.7244,3459.296,823.332,211.6609,364.8951,766.3587,414.2385,112.5592,717.2001,975.409,620.2203,4211.975,1484.858,882.9425,507.994,857.4855,520.841,141.6406,4134.549,626.8584,266.3735,756.3491,5076.788,977.1872,205.2304,1326.63,1462.645,286.2004,7203.65,304.4621,319.237,245305.9,44558.22,176.1335,597.3859,54.01543,415.2136,1366.299,1464.272,138.9007,82.78725,125736,352.6875,44.38561,71714.15,7361.685,2953.809,300.7866,296.1316,110.0467,290.057,543.4958,1780.736,244.4101,680.38,13195.68,611.476,116.3839,491.0735,682.864,158.9695,217.4589,923.4726,346.2498,1123.752,146.9422,182.5459,380.8119,181.9428,1534.315,647.5552,152.032,326.2183,35.32661,873.2637,108.1686,343.4601,2306.892,175.6601,198.3604,310.4381,37.42308,454.538,653.3277,384.5097,402.0715,592.8233,275.2775,51.23153,438.8605,252.3186,66.86387,788.2789,166.2705,539.1922,681.2035,115.3157
1,683.75528,908.97566,22.13019,552.26134,657.45951,8559.5934,939.544,31.05851,663.17692,672.06751,468.7566,76.23195,486.0353,725.26413,181.64344,51.25175,2598.82351,353.07315,195402.4524,13031.43206,223.52403,40734.86459,4865.94233,310.48807,27.65991,975.44252,3456.60994,407.88742,955.68189,517.38432,111.50841,1434.87992,139.23646,2404.57411,207.05104,216.0602,518.67141,27.07735,632.67992,91.40496,321.62197,322.04758,13796.4907,1196.64133,3047.46418,325.88118,1219.43243,1771.79068,332.83982,437.28717,767.82612,84.60883,125.56189,275.82974,423.03894,65.11579,956.24747,137.73042,111.73857,520.38417,881.78963,93.55341,385.43365,1268.53756,1822.89849,97.58972,241.40408,75.84541,113.59962,3294.06391,4441.87537,1503.14843,6781.45977,2384.43898,17.98131,840.99673,156.24473,87.17206,59.93775,622.0089,26.46442,115.2403,196.03089,1979.21687,869.262,444.22862,1241.84337,569.21598,2119.64064,2466.04185,7795.58926,7836.58488,1312.8633,1778.44134,2858.22106,10216.26043,2749.1476,394.90253,17025.91333,939.00214,917.78537,467.33216,850.30757,1190.29093,1628.17962,431.11647,6618.77168,339.67309,424.10385,2327.37452,176.03961,904.09458,62.51376,1016.7454,541.94477,283.02599,4284.13681,997.11082,2523.90191,643.59389,1850.62722,12344.93,275.92838,1792.94246,325.17702,1916.84933,790.88289,5402.81039,264.48601,113.03548,564.94794,726.99857,954.65189,1802.14961,760.55702,784.39317,103928.1819,20513.31268,2641.25551,337.72501,231.58845,314.44779,529.50239,261.91187,38.54487,40.84853,37032.10852,372.27604,164.86447,15702.62915,13364.43348,2804.56567,621.50463,586.96537,141.54045,1165.71804,1063.43514,2392.4224,1754.05693,395.91156,10682.72812,501.53404,83.09317,357.99878,248.46074,235.99589,401.3173,1730.05192,297.55977,286.07004,137.71885,743.21009,174.4455,112.68129,907.07628,761.5329,167.61962,792.09111,62.36722,298.73086,35.17585,213.8928,2281.10342,68.25459,100.32872,209.84979,88.42605,558.68122,179.99633,418.5172,72.21622,1892.40719,102.49843,73.34993,457.00905,49.2846,49251.72549,2146.71849,65.15955,763.49794,654.59245,187.67219
